brand,body_type,year,month,fuel_type,transmission,engine_vol,mileage_k,condition,owners,reg_type,fuel_efficiency,max_power,seats,segment,price_inr,age,mileage_per_year,age_squared,brand_tier
Maruti Suzuki,Hatchback,2005,4,Petrol + CNG,Manual,1.0,100.0,Good,2,Private,17.3,60.0,5,Budget,92000,21.0,4.8,441.0,1
Maruti Suzuki,Sedan,2009,7,Diesel,Manual,1.2,140.0,Fair,2,Private,19.3,73.9,5,Budget,280000,16.8,8.3,282.2,1
Maruti Suzuki,Hatchback,2007,9,Petrol,Manual,1.5,80.0,Good,2,Private,18.0,80.0,5,Budget,200000,18.6,4.3,346.0,1
Maruti Suzuki,Hatchback,2009,11,Petrol,Manual,1.1,90.0,Good,2,Private,18.9,67.0,5,Budget,180000,16.4,5.5,269.0,1
Mahindra,SUV,2016,4,Electric (EV),Manual,1.2,40.0,Good,1,Private,18.2,82.0,5,Mid-Range,400000,10.0,4.0,100.0,2
Maruti Suzuki,MUV,2016,4,Diesel,Manual,1.2,70.0,Excellent,2,Private,24.5,88.5,7,Budget,778000,10.0,7.0,100.0,1
Hyundai,Hatchback,2012,6,Diesel,Manual,1.4,53.0,Excellent,2,Private,23.0,90.0,5,Mid-Range,500000,13.8,3.8,190.4,2
Maruti Suzuki,SUV,2002,6,Petrol,Manual,0.8,80.0,Good,2,Private,19.7,46.3,5,Budget,150000,23.8,3.4,566.4,1
Hyundai,Hatchback,2016,7,Diesel,Manual,1.4,100.0,Good,1,Private,22.5,88.7,5,Mid-Range,680000,9.8,10.2,96.0,2
Mahindra,MUV,2011,1,Diesel,Manual,1.5,100.0,Excellent,2,Private,21.0,64.1,5,Mid-Range,174000,15.2,6.6,231.0,2
Honda,SUV,2017,11,Diesel,Manual,1.5,50.0,Good,1,Private,25.5,98.6,5,Mid-Range,950000,8.4,6.0,70.6,2
Maruti Suzuki,Sedan,2015,3,Diesel,Manual,1.2,40.0,Good,1,Private,26.6,74.0,5,Budget,525000,11.1,3.6,123.2,1
Maruti Suzuki,Sedan,2012,9,Diesel,Manual,1.2,72.0,Good,1,Private,21.5,88.8,5,Budget,600000,13.6,5.3,185.0,1
Tata,Sedan,2018,6,Petrol,Manual,1.2,35.0,Excellent,1,Private,20.3,83.8,5,Budget,500000,7.8,4.5,60.8,1
Maruti Suzuki,Hatchback,2016,6,Petrol,Manual,1.2,45.0,Good,1,Private,21.4,83.1,5,Budget,575000,9.8,4.6,96.0,1
Maruti Suzuki,SUV,2017,5,Petrol,Manual,0.8,28.0,Excellent,1,Bharat,24.7,47.3,5,Budget,275000,8.9,3.1,79.2,1
Chevrolet,MUV,2013,11,Diesel,Manual,1.2,70.0,Good,1,Private,18.2,73.8,7,Budget,300000,12.4,5.6,153.8,1
Maruti Suzuki,Hatchback,2009,3,Petrol,Manual,1.1,120.0,Good,1,Taxi,18.9,67.0,5,Budget,220000,17.1,7.0,292.4,1
Maruti Suzuki,Minivan,2018,11,Petrol + CNG,Manual,0.8,25.0,Excellent,1,Private,16.8,34.2,8,Budget,254999,7.4,3.4,54.8,1
Maruti Suzuki,SUV,2017,5,Diesel,Manual,1.2,70.0,Good,1,Private,24.3,88.5,5,Budget,670000,8.9,7.9,79.2,1
Fiat,Hatchback,2003,1,Petrol,Manual,1.5,50.0,Fair,2,Taxi,18.0,80.0,5,Budget,70000,23.2,2.2,538.2,1
Maruti Suzuki,Minivan,2012,3,Petrol,Manual,0.8,35.0,Good,2,Private,14.0,35.0,5,Budget,150000,14.1,2.5,198.8,1
Hyundai,Hatchback,2018,4,Petrol + CNG,Manual,1.2,2.4,Excellent,1,Bharat,18.6,81.8,5,Mid-Range,730000,8.0,0.3,64.0,2
Maruti Suzuki,SUV,2017,5,Diesel,Manual,1.2,16.2,Excellent,1,Private,24.3,88.5,5,Budget,650000,8.9,1.8,79.2,1
Maruti Suzuki,Hatchback,2019,10,Petrol + CNG,Manual,0.8,10.0,Excellent,2,Taxi,33.4,40.3,4,Budget,330000,6.5,1.5,42.2,1
Maruti Suzuki,SUV,2019,9,Petrol,Manual,1.0,15.0,Excellent,1,Private,24.0,67.1,5,Budget,366000,6.6,2.3,43.6,1
Hyundai,Sedan,2019,4,Petrol,Manual,1.6,5.0,Excellent,1,Private,17.0,121.3,5,Mid-Range,1149000,7.0,0.7,49.0,2
Datsun,Hatchback,2016,3,Petrol,Manual,1.2,42.0,Excellent,1,Taxi,20.6,67.0,5,Budget,150000,10.1,4.2,102.0,1
Tata,SUV,2011,10,Diesel,Manual,2.2,60.0,Excellent,2,Private,13.9,138.0,7,Budget,425000,14.5,4.1,210.2,1
Maruti Suzuki,MUV,2012,1,Petrol,Manual,0.8,76.0,Excellent,1,Private,16.1,37.0,4,Budget,150000,14.2,5.4,201.6,1
Jeep,SUV,2019,10,Petrol,Automatic,1.4,5.0,Excellent,1,Private,16.0,160.8,5,Mid-Range,2100000,6.5,0.8,42.2,2
Honda,Sedan,2018,6,Petrol,Manual,1.5,28.9,Excellent,1,Private,17.8,117.3,5,Mid-Range,925000,7.8,3.7,60.8,2
Honda,Sedan,2013,7,Petrol,Manual,1.5,86.3,Good,1,Bharat,16.8,116.3,5,Mid-Range,425000,12.8,6.7,163.8,2
Maruti Suzuki,Sedan,2018,10,Petrol + CNG,Automatic,1.2,23.3,Excellent,1,Private,18.5,83.1,5,Budget,675000,7.5,3.1,56.2,1
Maruti Suzuki,SUV,2018,8,Diesel,Manual,1.2,32.6,Excellent,1,Private,24.3,88.5,5,Budget,819999,7.7,4.2,59.3,1
Maruti Suzuki,Sedan,2018,12,Petrol + CNG,Manual,1.0,10.3,Excellent,1,Private,24.0,67.0,5,Budget,390000,7.3,1.4,53.3,1
Toyota,SUV,2014,1,Diesel,Manual,3.0,77.0,Good,1,Private,12.6,168.5,7,Mid-Range,1500000,12.2,6.3,148.8,2
Toyota,MUV,2013,12,Diesel,Manual,2.5,99.0,Excellent,1,Private,13.0,100.0,7,Mid-Range,700000,12.3,8.0,151.3,2
Mercedes-Benz,Sedan,2014,4,Diesel,Automatic,2.1,27.8,Fair,2,Private,14.8,120.7,5,Premium,1450000,12.0,2.3,144.0,3
Honda,Sedan,2015,11,Diesel,Manual,1.5,49.8,Excellent,1,Private,24.7,98.6,5,Mid-Range,425000,10.4,4.8,108.2,2
Mitsubishi,SUV,2013,5,Diesel,Manual,2.5,151.0,Good,1,Private,13.5,175.6,7,Mid-Range,1090000,12.9,11.7,166.4,2
Honda,Sedan,2015,2,Diesel,Manual,1.5,54.7,Good,1,Taxi,26.0,98.6,5,Mid-Range,600000,11.2,4.9,125.4,2
Maruti Suzuki,Sedan,2018,1,Petrol,Manual,1.5,64.0,Excellent,1,Private,20.6,103.2,5,Budget,850000,8.2,7.8,67.2,1
Honda,Hatchback,2015,8,Diesel,Manual,1.5,63.0,Excellent,1,Private,27.3,98.6,5,Mid-Range,525000,10.7,5.9,114.5,2
Toyota,MUV,2016,6,Diesel,Automatic,2.8,127.7,Good,2,Private,11.4,171.5,7,Mid-Range,1650000,9.8,13.0,96.0,2
Toyota,MUV,2016,5,Diesel,Manual,2.5,99.0,Good,1,Private,13.0,100.6,7,Mid-Range,950000,9.9,10.0,98.0,2
Audi,Sedan,2013,9,Diesel,Automatic,2.0,33.9,Good,2,Private,17.7,174.3,5,Premium,1750000,12.6,2.7,158.8,3
Toyota,Sedan,2018,11,Petrol,Automatic,1.8,25.0,Excellent,1,Private,14.3,138.0,5,Mid-Range,1590000,7.4,3.4,54.8,2
Audi,SUV,2013,11,Diesel,Automatic,2.0,50.0,Good,1,Private,18.5,187.7,5,Premium,1689999,12.4,4.0,153.8,3
Mercedes-Benz,SUV,2013,2,Diesel,Automatic,2.1,59.0,Good,1,Private,14.8,170.0,5,Premium,1425000,13.2,4.5,174.2,3
Tata,Sedan,2011,10,Diesel,Manual,1.2,120.0,Good,1,Private,21.1,88.8,5,Budget,265000,14.5,8.3,210.2,1
Hyundai,Hatchback,2011,12,Petrol + CNG,Manual,1.2,110.0,Good,3,Private,20.4,78.9,5,Mid-Range,190000,14.3,7.7,204.5,2
Hyundai,Hatchback,2013,8,Diesel,Manual,1.4,60.0,Fair,1,Private,21.3,88.8,5,Mid-Range,425000,12.7,4.7,161.3,2
Maruti Suzuki,Sedan,2015,11,Diesel,Manual,1.2,147.0,Good,2,Private,26.6,74.0,5,Budget,630000,10.4,14.1,108.2,1
Ford,Hatchback,2017,10,Petrol,Manual,1.2,25.0,Excellent,3,Bharat,18.2,86.8,5,Mid-Range,600000,8.5,2.9,72.2,2
Maruti Suzuki,Hatchback,2019,9,Petrol,Manual,1.2,30.0,Excellent,1,Private,21.4,83.1,5,Budget,650000,6.6,4.5,43.6,1
Volkswagen,Hatchback,2016,1,Diesel,Manual,1.5,40.0,Good,1,Taxi,22.0,108.5,5,Mid-Range,540000,10.2,3.9,104.0,2
Honda,Sedan,2015,7,Diesel,Manual,1.5,135.0,Good,1,Private,25.1,98.6,5,Mid-Range,630000,10.8,12.5,116.6,2
Maruti Suzuki,Hatchback,2018,8,Petrol,Automatic,1.0,30.0,Excellent,1,Private,20.5,67.0,5,Budget,448000,7.7,3.9,59.3,1
Volkswagen,Hatchback,2017,3,Diesel,Manual,1.5,80.0,Excellent,1,Private,21.7,108.6,5,Mid-Range,500000,9.1,8.8,82.8,2
Maruti Suzuki,SUV,2016,4,Diesel,Manual,1.2,70.0,Good,1,Taxi,24.3,88.5,5,Budget,745000,10.0,7.0,100.0,1
Maruti Suzuki,SUV,2019,3,Diesel,Automatic,1.2,9.8,Excellent,1,Private,24.3,88.5,5,Budget,1025000,7.1,1.4,50.4,1
Hyundai,Hatchback,2011,7,Petrol + CNG,Manual,1.2,60.0,Excellent,2,Taxi,20.4,78.9,5,Mid-Range,235000,14.8,4.1,219.0,2
Maruti Suzuki,Hatchback,2016,9,Diesel,Manual,1.2,70.0,Good,1,Private,25.2,74.0,5,Budget,630000,9.6,7.3,92.2,1
Toyota,SUV,2015,3,Diesel,Manual,3.0,78.0,Good,2,Private,12.6,168.5,7,Mid-Range,1700000,11.1,7.0,123.2,2
Maruti Suzuki,Hatchback,2013,6,Diesel,Manual,1.2,120.0,Good,2,Private,22.9,74.0,5,Budget,450000,12.8,9.4,163.8,1
Maruti Suzuki,MUV,2012,8,Petrol + CNG,Manual,1.4,120.0,Fair,2,Taxi,16.0,93.7,7,Budget,450000,13.7,8.8,187.7,1
Tata,Sedan,2003,6,Diesel,Manual,1.5,70.0,Poor,1,Private,18.0,80.0,5,Budget,50000,22.8,3.1,519.8,1
Volkswagen,Sedan,2013,2,Diesel,Manual,1.6,170.0,Good,1,Private,20.5,103.6,5,Mid-Range,450000,13.2,12.9,174.2,2
Toyota,MUV,2016,7,Diesel,Manual,2.5,140.0,Good,1,Private,13.0,100.6,8,Mid-Range,1200000,9.8,14.3,96.0,2
Ford,SUV,2015,2,Diesel,Manual,1.5,90.0,Fair,1,Private,22.8,98.6,5,Mid-Range,610000,11.2,8.0,125.4,2
BMW,SUV,2016,2,Petrol + Hybrid,Automatic,2.0,30.0,Good,2,Private,15.7,189.0,5,Premium,2500000,10.2,2.9,104.0,3
Maruti Suzuki,Hatchback,2017,2,Petrol,Manual,1.0,10.0,Excellent,1,Private,23.1,67.0,5,Budget,484999,9.2,1.1,84.6,1
Datsun,Hatchback,2016,11,Petrol,Manual,1.2,49.0,Good,1,Private,19.0,67.0,5,Budget,275000,9.4,5.2,88.4,1
Maruti Suzuki,Hatchback,2016,1,Petrol + CNG,Manual,0.8,32.0,Good,1,Private,24.7,47.3,5,Budget,315000,10.2,3.1,104.0,1
Maruti Suzuki,Hatchback,2016,11,Petrol,Manual,0.8,38.0,Excellent,1,Bharat,24.7,47.3,5,Budget,275000,9.4,4.0,88.4,1
Maruti Suzuki,Hatchback,2015,1,Diesel,Manual,1.5,78.0,Good,1,Private,18.0,80.0,5,Budget,475000,11.2,7.0,125.4,1
Hyundai,Hatchback,2012,7,Petrol,Manual,1.1,28.0,Good,1,Private,19.8,68.0,5,Mid-Range,290000,13.8,2.0,190.4,2
Maruti Suzuki,Minivan,2017,12,Petrol + CNG,Manual,0.8,32.0,Excellent,1,Bharat,14.0,35.0,5,Budget,280000,8.3,3.9,68.9,1
Maruti Suzuki,Hatchback,2010,5,Petrol + CNG,Manual,1.0,44.0,Good,1,Private,26.2,58.2,5,Budget,225000,15.9,2.8,252.8,1
Volkswagen,Hatchback,2015,11,Petrol,Manual,1.2,42.0,Excellent,1,Private,16.5,74.0,5,Mid-Range,455000,10.4,4.0,108.2,2
Hyundai,Hatchback,2015,3,Petrol,Manual,1.1,45.0,Good,2,Private,19.8,68.0,5,Mid-Range,351000,11.1,4.1,123.2,2
Volkswagen,Sedan,2012,1,Petrol,Manual,1.6,12.0,Good,2,Private,15.0,103.6,5,Mid-Range,535000,14.2,0.8,201.6,2
Maruti Suzuki,Sedan,2009,11,Petrol,Manual,1.0,55.5,Excellent,1,Private,18.2,67.1,5,Budget,175000,16.4,3.4,269.0,1
Hyundai,Hatchback,2013,10,Petrol,Manual,1.2,61.5,Good,1,Private,18.5,82.8,5,Mid-Range,525000,12.5,4.9,156.2,2
Maruti Suzuki,Sedan,2016,6,Diesel,Manual,1.2,150.0,Good,1,Private,26.6,74.0,5,Budget,600000,9.8,15.3,96.0,1
Hyundai,SUV,2016,11,Petrol,Automatic,1.2,72.0,Good,1,Private,19.1,82.0,5,Mid-Range,565000,9.4,7.7,88.4,2
Maruti Suzuki,Hatchback,2008,1,Petrol + CNG,Manual,0.8,68.0,Good,3,Taxi,19.7,46.3,5,Budget,120000,18.2,3.7,331.2,1
Hyundai,Hatchback,2017,9,Diesel,Manual,1.4,110.0,Excellent,1,Private,22.5,88.7,5,Mid-Range,725000,8.6,12.8,74.0,2
Maruti Suzuki,Hatchback,2009,2,Petrol,Manual,1.0,77.0,Fair,2,Private,21.8,67.0,5,Budget,185000,17.2,4.5,295.8,1
Tata,Hatchback,2010,1,Diesel,Manual,1.2,100.0,Fair,2,Private,18.8,90.0,5,Budget,200000,16.2,6.2,262.4,1
Maruti Suzuki,Hatchback,2019,12,Petrol,Manual,1.2,10.0,Excellent,1,Private,21.2,81.8,5,Budget,615000,6.3,1.6,39.7,1
Maruti Suzuki,Minivan,2016,7,Petrol,Manual,1.2,100.0,Good,3,Private,15.4,73.0,7,Budget,270000,9.8,10.2,96.0,1
Maruti Suzuki,Hatchback,2018,6,Petrol,Manual,1.2,35.0,Excellent,1,Private,21.4,83.1,5,Budget,610000,7.8,4.5,60.8,1
Mahindra,SUV,2014,6,Diesel,Automatic,2.2,70.0,Good,2,Private,11.8,120.0,8,Mid-Range,625000,11.8,5.9,139.2,2
Ford,Sedan,2020,5,Petrol,Manual,1.2,5.0,Excellent,2,Private,19.0,94.7,5,Mid-Range,400000,5.9,0.8,34.8,2
Hyundai,Sedan,2017,11,Petrol + CNG,Manual,1.6,37.8,Excellent,1,Private,17.0,121.3,5,Mid-Range,866000,8.4,4.5,70.6,2
Volkswagen,SUV,2010,4,Petrol,Manual,1.8,114.0,Good,1,Private,14.3,160.0,5,Mid-Range,700000,16.0,7.1,256.0,2
Tata,SUV,2010,11,Petrol + CNG,Manual,1.2,48.0,Good,1,Private,15.8,65.0,5,Budget,300000,15.4,3.1,237.2,1
Mahindra,SUV,2019,4,Diesel + CNG,Manual,2.2,32.0,Good,1,Private,15.1,155.0,7,Mid-Range,1700000,7.0,4.6,49.0,2
Tata,SUV,2016,3,Diesel,Manual,1.4,100.0,Good,1,Private,19.1,69.0,5,Budget,375000,10.1,9.9,102.0,1
Hyundai,Sedan,2013,10,Diesel,Manual,1.6,150.0,Good,2,Private,22.3,126.3,5,Mid-Range,522000,12.5,12.0,156.2,2
Hyundai,Hatchback,2013,8,Diesel,Manual,1.4,69.0,Excellent,1,Private,21.9,88.8,5,Mid-Range,451999,12.7,5.4,161.3,2
Toyota,Sedan,2009,7,Petrol,Manual,1.8,100.0,Good,2,Private,14.5,138.1,5,Mid-Range,300000,16.8,6.0,282.2,2
Maruti Suzuki,Hatchback,2020,9,Petrol,Manual,1.0,13.0,Excellent,1,Private,21.6,67.0,5,Budget,475000,5.6,2.3,31.4,1
Maruti Suzuki,SUV,2016,1,Diesel,Manual,1.2,60.0,Excellent,1,Private,24.3,88.5,5,Budget,780000,10.2,5.9,104.0,1
Maruti Suzuki,Sedan,2017,7,Petrol,Manual,1.2,40.0,Excellent,1,Bharat,20.8,83.1,5,Budget,595000,8.8,4.5,77.4,1
Maruti Suzuki,Hatchback,2017,10,Petrol,Manual,1.0,35.0,Good,1,Bharat,20.5,67.0,5,Budget,440000,8.5,4.1,72.2,1
Maruti Suzuki,Hatchback,2010,4,Diesel,Manual,1.5,120.0,Fair,2,Private,18.0,80.0,5,Budget,300000,16.0,7.5,256.0,1
Nissan,SUV,2014,7,Diesel,Manual,1.5,70.0,Good,3,Private,20.4,83.8,5,Budget,400000,11.8,5.9,139.2,1
Hyundai,SUV,2016,12,Diesel,Manual,1.6,50.0,Good,1,Private,19.7,126.2,5,Mid-Range,1140000,9.3,5.4,86.5,2
Ford,SUV,2017,1,Diesel,Manual,1.5,76.1,Good,1,Private,23.0,99.0,5,Mid-Range,850000,9.2,8.3,84.6,2
Maruti Suzuki,Sedan,2012,5,Diesel,Manual,1.2,175.0,Fair,4,Private,19.3,73.9,5,Budget,370000,13.9,12.6,193.2,1
Renault,Hatchback,2018,3,Petrol,Manual,1.0,25.0,Good,1,Private,23.0,67.0,5,Budget,350000,8.1,3.1,65.6,1
Maruti Suzuki,Hatchback,2015,5,Petrol,Manual,1.0,40.0,Excellent,2,Taxi,23.1,67.0,5,Budget,360000,10.9,3.7,118.8,1
Maruti Suzuki,Hatchback,2008,4,Petrol,Manual,0.8,65.0,Fair,4,Private,19.7,46.3,5,Budget,105000,18.0,3.6,324.0,1
Maruti Suzuki,MUV,2013,2,Diesel,Manual,1.2,90.0,Fair,2,Private,20.8,88.8,7,Budget,625000,13.2,6.8,174.2,1
Hyundai,Hatchback,2009,11,Petrol,Manual,1.1,80.0,Good,2,Private,17.9,62.1,5,Mid-Range,135000,16.4,4.9,269.0,2
Maruti Suzuki,MUV,2015,4,Diesel,Manual,1.2,110.0,Excellent,2,Private,20.8,88.8,7,Budget,700000,11.0,10.0,121.0,1
Honda,Sedan,2019,3,Petrol,Manual,1.2,1.3,Excellent,1,Private,17.8,86.7,5,Mid-Range,690000,7.1,0.2,50.4,2
Audi,Sedan,2018,1,Diesel,Automatic,2.0,31.8,Good,1,Private,17.0,188.0,5,Premium,3975000,8.2,3.9,67.2,3
Lexus,MUV,2019,12,Petrol,Automatic,2.5,20.0,Excellent,1,Private,22.4,214.6,5,Premium,5150000,6.3,3.2,39.7,3
Jaguar,SUV,2017,10,Diesel,Automatic,2.0,45.0,Excellent,1,Private,19.3,177.0,5,Premium,3200000,8.5,5.3,72.2,3
Jeep,SUV,2017,8,Petrol,Automatic,3.6,17.0,Excellent,1,Private,9.5,280.0,5,Mid-Range,4100000,8.7,2.0,75.7,2
Land Rover,SUV,2019,5,Diesel,Automatic,2.0,21.0,Excellent,1,Private,12.8,148.3,7,Premium,4500000,6.9,3.0,47.6,3
Mercedes-Benz,SUV,2017,4,Diesel,Automatic,3.0,37.0,Excellent,1,Private,13.5,254.8,5,Premium,6000000,9.0,4.1,81.0,3
BMW,SUV,2018,10,Diesel,Automatic,2.0,29.5,Excellent,1,Private,22.5,187.7,5,Premium,3790000,7.5,3.9,56.2,3
BMW,SUV,2017,12,Diesel,Automatic,1.5,27.0,Excellent,1,Taxi,18.0,80.0,5,Premium,2150000,8.3,3.3,68.9,3
BMW,Sedan,2019,5,Diesel,Automatic,2.0,7.5,Excellent,1,Private,16.8,190.0,5,Premium,5800000,6.9,1.1,47.6,3
Skoda,Sedan,2018,4,Petrol,Automatic,1.8,50.0,Excellent,1,Private,14.7,177.5,5,Mid-Range,1864999,8.0,6.2,64.0,2
Mercedes-Benz,Sedan,2016,3,Diesel + CNG,Automatic,2.1,35.0,Excellent,1,Private,15.0,204.0,5,Premium,2700000,10.1,3.5,102.0,3
MG,SUV,2019,5,Petrol,Automatic,1.5,19.0,Excellent,1,Bharat,14.0,141.0,5,Mid-Range,1750000,6.9,2.8,47.6,2
Honda,Sedan,2017,4,Petrol,Automatic,1.5,41.0,Good,1,Private,18.0,117.6,5,Mid-Range,795000,9.0,4.6,81.0,2
Toyota,Sedan,2013,1,Petrol,Automatic,1.8,39.0,Excellent,1,Private,14.3,138.0,5,Mid-Range,625000,13.2,3.0,174.2,2
Volvo,SUV,2018,12,Diesel,Automatic,2.0,22.0,Excellent,1,Private,18.0,190.0,5,Premium,3400000,7.3,3.0,53.3,3
Audi,SUV,2015,3,Diesel,Automatic,3.0,53.0,Good,1,Bharat,12.1,241.4,7,Premium,2650000,11.1,4.8,123.2,3
Maruti Suzuki,Sedan,2015,10,Diesel,Manual,1.2,40.0,Good,1,Private,26.2,88.5,5,Budget,535000,10.5,3.8,110.2,1
Mercedes-Benz,SUV,2017,10,Diesel,Automatic,3.0,47.0,Excellent,1,Private,13.5,282.0,5,Premium,5850000,8.5,5.5,72.2,3
BMW,SUV,2010,8,Petrol,Automatic,2.5,72.2,Excellent,2,Private,10.8,150.0,5,Premium,975000,15.7,4.6,246.5,3
Hyundai,Sedan,2016,7,Petrol,Manual,1.8,49.9,Excellent,1,Private,16.3,147.5,5,Mid-Range,805000,9.8,5.1,96.0,2
Jaguar,SUV,2017,2,Diesel,Automatic,2.0,9.0,Excellent,1,Private,13.6,177.0,5,Premium,2625000,9.2,1.0,84.6,3
Tata,SUV,2018,1,Petrol,Manual,1.2,11.0,Excellent,1,Private,17.0,108.5,5,Budget,811000,8.2,1.3,67.2,1
Volkswagen,Sedan,2011,3,Petrol,Manual,1.6,49.0,Good,1,Private,15.0,103.6,5,Mid-Range,375000,15.1,3.2,228.0,2
Hyundai,Sedan,2012,5,Petrol,Manual,1.8,95.0,Good,1,Bharat,16.3,147.5,5,Mid-Range,550000,13.9,6.8,193.2,2
Skoda,Sedan,2016,10,Petrol,Automatic,1.6,11.0,Excellent,1,Private,14.3,103.5,5,Mid-Range,645000,9.5,1.2,90.2,2
Mercedes-Benz,Sedan,2018,11,Petrol,Automatic,2.0,18.0,Excellent,1,Private,15.0,183.0,5,Premium,2550000,7.4,2.4,54.8,3
Maruti Suzuki,MUV,2014,12,Petrol,Manual,1.4,46.1,Good,1,Private,16.0,93.7,7,Budget,599000,11.3,4.1,127.7,1
Mercedes-Benz,Sedan,2017,1,Petrol,Automatic,2.0,16.0,Excellent,1,Private,14.7,181.0,5,Premium,2700000,9.2,1.7,84.6,3
Honda,Sedan,2017,3,Petrol,Automatic,1.5,18.0,Excellent,1,Private,15.6,116.3,5,Mid-Range,875000,9.1,2.0,82.8,2
Toyota,Hatchback,2019,3,Petrol,Automatic,1.2,9.7,Excellent,1,Private,19.6,81.8,5,Mid-Range,894999,7.1,1.4,50.4,2
Maruti Suzuki,MUV,2011,5,Petrol,Manual,1.0,11.0,Good,1,Private,24.0,67.0,5,Budget,175000,14.9,0.7,222.0,1
Maruti Suzuki,Hatchback,2012,3,Petrol,Manual,1.2,24.3,Good,1,Private,21.2,81.8,5,Budget,340000,14.1,1.7,198.8,1
Toyota,MUV,2016,9,Diesel + CNG,Automatic,2.8,42.2,Excellent,2,Private,11.4,171.5,7,Mid-Range,1525000,9.6,4.4,92.2,2
Tata,SUV,2018,1,Diesel,Automatic,1.5,8.0,Excellent,1,Private,21.5,108.5,5,Budget,1025000,8.2,1.0,67.2,1
BMW,Sedan,2016,4,Diesel,Automatic,2.0,30.0,Good,1,Taxi,22.7,190.0,5,Premium,2150000,10.0,3.0,100.0,3
Toyota,Sedan,2016,10,Petrol + Hybrid,Automatic,2.5,41.0,Excellent,1,Taxi,19.2,157.7,5,Mid-Range,1900000,9.5,4.3,90.2,2
BMW,Sedan,2016,10,Diesel,Automatic,2.0,12.0,Good,1,Taxi,18.1,190.0,5,Premium,2900000,9.5,1.3,90.2,3
Toyota,Sedan,2009,4,Petrol,Automatic,2.4,71.0,Good,1,Private,12.1,164.7,5,Mid-Range,450000,17.0,4.2,289.0,2
Maruti Suzuki,MUV,2016,1,Petrol,Manual,1.4,20.0,Excellent,1,Private,17.5,91.1,7,Budget,850000,10.2,2.0,104.0,1
Volvo,SUV,2017,2,Petrol,Automatic,2.0,30.0,Good,1,Bharat,40.0,400.0,4,Premium,10000000,9.2,3.3,84.6,3
Volkswagen,Sedan,2011,11,Diesel,Manual,1.6,100.0,Fair,2,Private,20.5,103.6,5,Mid-Range,300000,14.4,6.9,207.4,2
Ford,Hatchback,2018,1,Petrol,Manual,1.2,9.5,Good,1,Private,18.2,86.8,5,Mid-Range,575000,8.2,1.2,67.2,2
Ford,Hatchback,2011,6,Diesel,Manual,1.4,120.0,Good,1,Private,20.0,68.0,5,Mid-Range,160000,14.8,8.1,219.0,2
Maruti Suzuki,Hatchback,2015,3,Petrol,Manual,1.2,36.6,Excellent,1,Private,20.4,81.8,5,Budget,515000,11.1,3.3,123.2,1
Maruti Suzuki,Hatchback,2015,7,Petrol,Automatic,1.0,50.0,Good,2,Private,20.5,67.0,5,Budget,390000,10.8,4.6,116.6,1
Hyundai,Hatchback,2016,5,Petrol,Manual,1.2,14.0,Excellent,2,Private,18.6,81.8,5,Mid-Range,550000,9.9,1.4,98.0,2
Maruti Suzuki,MUV,1999,9,Petrol,Manual,0.8,40.0,Fair,2,Private,16.1,37.0,4,Budget,40000,26.6,1.5,707.6,1
Maruti Suzuki,Sedan,2010,7,Diesel,Manual,1.2,120.0,Fair,1,Private,21.1,73.9,5,Budget,220000,15.8,7.6,249.6,1
Hyundai,Hatchback,2015,4,Petrol,Manual,1.2,70.0,Fair,1,Private,18.9,82.0,5,Mid-Range,425000,11.0,6.4,121.0,2
